State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,178,-98.669603,29.715448 -98.664047,29.715448 -98.664047,29.703653 -98.669603,29.703653 -98.669603,29.715448
TX,Bexar,179,-98.652935,29.715448 -98.652935,29.709551 -98.664047,29.709551 -98.664047,29.715448 -98.652935,29.715448
TX,Bexar,180,-98.652935,29.709551 -98.652935,29.703653 -98.664047,29.703653 -98.664047,29.709551 -98.652935,29.709551
TX,Bexar,181,-98.714256,29.703653 -98.714256,29.696172 -98.723016,29.696172 -98.723016,29.703653 -98.714256,29.703653
TX,Bexar,182,-98.714256,29.696172 -98.714256,29.688691 -98.723016,29.688691 -98.723016,29.696172 -98.714256,29.696172
TX,Bexar,183,-98.705496,29.703653 -98.705496,29.696172 -98.714256,29.696172 -98.714256,29.703653 -98.705496,29.703653
TX,Bexar,184,-98.705496,29.696172 -98.705496,29.688691 -98.714256,29.688691 -98.714256,29.696172 -98.705496,29.696172
TX,Bexar,185,-98.723016,29.688691 -98.714256,29.688691 -98.714256,29.68121 -98.723016,29.68121 -98.723016,29.688691
TX,Bexar,186,-98.714256,29.688691 -98.705496,29.688691 -98.705496,29.68121 -98.714256,29.68121 -98.714256,29.688691
TX,Bexar,187,-98.723016,29.68121 -98.717176,29.68121 -98.717176,29.669988 -98.723016,29.669988 -98.723016,29.68121
TX,Bexar,188,-98.717176,29.68121 -98.711336,29.68121 -98.711336,29.669988 -98.717176,29.669988 -98.717176,29.68121
TX,Bexar,189,-98.711336,29.68121 -98.705496,29.68121 -98.705496,29.669988 -98.711336,29.669988 -98.711336,29.68121
TX,Bexar,190,-98.696735,29.703653 -98.696735,29.696172 -98.705496,29.696172 -98.705496,29.703653 -98.696735,29.703653
TX,Bexar,191,-98.696735,29.696172 -98.696735,29.688691 -98.705496,29.688691 -98.705496,29.696172 -98.696735,29.696172
TX,Bexar,192,-98.687975,29.703653 -98.687975,29.696172 -98.696735,29.696172 -98.696735,29.703653 -98.687975,29.703653
TX,Bexar,193,-98.687975,29.696172 -98.687975,29.688691 -98.696735,29.688691 -98.696735,29.696172 -98.687975,29.696172
TX,Bexar,194,-98.705496,29.688691 -98.696735,29.688691 -98.696735,29.68121 -98.705496,29.68121 -98.705496,29.688691
TX,Bexar,195,-98.696735,29.688691 -98.687975,29.688691 -98.687975,29.68121 -98.696735,29.68121 -98.696735,29.688691
TX,Bexar,196,-98.705496,29.68121 -98.699655,29.68121 -98.699655,29.669988 -98.705496,29.669988 -98.705496,29.68121
TX,Bexar,197,-98.699655,29.68121 -98.693815,29.68121 -98.693815,29.669988 -98.699655,29.669988 -98.699655,29.68121
TX,Bexar,198,-98.693815,29.68121 -98.687975,29.68121 -98.687975,29.669988 -98.693815,29.669988 -98.693815,29.68121
TX,Bexar,199,-98.679215,29.703653 -98.679215,29.696172 -98.687975,29.696172 -98.687975,29.703653 -98.679215,29.703653
TX,Bexar,200,-98.679215,29.696172 -98.679215,29.688691 -98.687975,29.688691 -98.687975,29.696172 -98.679215,29.696172
TX,Bexar,201,-98.670455,29.703653 -98.670455,29.696172 -98.679215,29.696172 -98.679215,29.703653 -98.670455,29.703653
TX,Bexar,202,-98.670455,29.696172 -98.670455,29.688691 -98.679215,29.688691 -98.679215,29.696172 -98.670455,29.696172
TX,Bexar,203,-98.687975,29.688691 -98.679215,29.688691 -98.679215,29.68121 -98.687975,29.68121 -98.687975,29.688691
TX,Bexar,204,-98.679215,29.688691 -98.670455,29.688691 -98.670455,29.68121 -98.679215,29.68121 -98.679215,29.688691
