State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,134,-96.821437,28.629332 -96.813442,28.629332 -96.813442,28.621134 -96.821437,28.621134 -96.821437,28.629332
TX,Calhoun,135,-96.813442,28.629332 -96.805446,28.629332 -96.805446,28.621134 -96.813442,28.621134 -96.813442,28.629332
TX,Calhoun,136,-96.821437,28.621134 -96.813442,28.621134 -96.813442,28.612936 -96.821437,28.612936 -96.821437,28.621134
TX,Calhoun,137,-96.813442,28.621134 -96.805446,28.621134 -96.805446,28.612936 -96.813442,28.612936 -96.813442,28.621134
TX,Calhoun,138,-96.793237,28.651061 -96.793237,28.644094 -96.805446,28.644094 -96.805446,28.647865 -96.793237,28.651061
TX,Calhoun,139,-96.805446,28.644094 -96.799341,28.644094 -96.799341,28.633357 -96.805446,28.633357 -96.805446,28.644094
TX,Calhoun,140,-96.799341,28.644094 -96.793237,28.644094 -96.793237,28.633357 -96.799341,28.633357 -96.799341,28.644094
TX,Calhoun,141,-96.793237,28.651061 -96.785897,28.652982 -96.785897,28.64309 -96.793237,28.64309 -96.793237,28.651061
TX,Calhoun,142,-96.785897,28.652982 -96.779768,28.654587 -96.779768,28.64309 -96.785897,28.64309 -96.785897,28.652982
TX,Calhoun,143,-96.793237,28.64309 -96.786502,28.64309 -96.786502,28.633357 -96.793237,28.633357 -96.793237,28.64309
TX,Calhoun,144,-96.786502,28.64309 -96.779768,28.64309 -96.779768,28.633357 -96.786502,28.633357 -96.786502,28.64309
TX,Calhoun,145,-96.805446,28.633357 -96.799027,28.633357 -96.799027,28.623146 -96.805446,28.623146 -96.805446,28.633357
TX,Calhoun,146,-96.799027,28.633357 -96.792607,28.633357 -96.792607,28.623146 -96.799027,28.623146 -96.799027,28.633357
TX,Calhoun,147,-96.805446,28.623146 -96.799027,28.623146 -96.799027,28.612936 -96.805446,28.612936 -96.805446,28.623146
TX,Calhoun,148,-96.799027,28.623146 -96.792607,28.623146 -96.792607,28.612936 -96.799027,28.612936 -96.799027,28.623146
TX,Calhoun,149,-96.792607,28.633357 -96.786187,28.633357 -96.786187,28.623146 -96.792607,28.623146 -96.792607,28.633357
TX,Calhoun,150,-96.786187,28.633357 -96.779768,28.633357 -96.779768,28.623146 -96.786187,28.623146 -96.786187,28.633357
TX,Calhoun,151,-96.792607,28.623146 -96.786187,28.623146 -96.786187,28.612936 -96.792607,28.612936 -96.792607,28.623146
TX,Calhoun,152,-96.786187,28.623146 -96.779768,28.623146 -96.779768,28.612936 -96.786187,28.612936 -96.786187,28.623146
TX,Calhoun,153,-96.825471,28.612936 -96.825471,28.607454 -96.837428,28.607454 -96.837428,28.612936 -96.825471,28.612936
TX,Calhoun,154,-96.837428,28.607454 -96.831449,28.607454 -96.831449,28.59649 -96.837428,28.59649 -96.837428,28.607454
TX,Calhoun,155,-96.831449,28.607454 -96.825471,28.607454 -96.825471,28.59649 -96.831449,28.59649 -96.831449,28.607454
TX,Calhoun,156,-96.825471,28.612936 -96.817499,28.612936 -96.817499,28.604713 -96.825471,28.604713 -96.825471,28.612936
TX,Calhoun,157,-96.817499,28.612936 -96.809528,28.612936 -96.809528,28.604713 -96.817499,28.604713 -96.817499,28.612936
TX,Calhoun,158,-96.825471,28.604713 -96.817499,28.604713 -96.817499,28.59649 -96.825471,28.59649 -96.825471,28.604713
TX,Calhoun,159,-96.817499,28.604713 -96.809528,28.604713 -96.809528,28.59649 -96.817499,28.59649 -96.817499,28.604713
TX,Calhoun,160,-96.837428,28.59649 -96.830453,28.59649 -96.830453,28.587093 -96.837428,28.587093 -96.837428,28.59649
TX,Calhoun,161,-96.830453,28.59649 -96.823478,28.59649 -96.823478,28.587093 -96.830453,28.587093 -96.830453,28.59649
TX,Calhoun,162,-96.837428,28.587093 -96.830453,28.587093 -96.830453,28.577695 -96.837428,28.577695 -96.837428,28.587093
TX,Calhoun,163,-96.830453,28.587093 -96.823478,28.587093 -96.823478,28.577695 -96.830453,28.577695 -96.830453,28.587093
TX,Calhoun,164,-96.823478,28.59649 -96.816503,28.59649 -96.816503,28.587093 -96.823478,28.587093 -96.823478,28.59649
TX,Calhoun,165,-96.816503,28.59649 -96.809528,28.59649 -96.809528,28.587093 -96.816503,28.587093 -96.816503,28.59649
TX,Calhoun,166,-96.823478,28.587093 -96.816503,28.587093 -96.816503,28.577695 -96.823478,28.577695 -96.823478,28.587093
TX,Calhoun,167,-96.816503,28.587093 -96.809528,28.587093 -96.809528,28.577695 -96.816503,28.577695 -96.816503,28.587093
TX,Calhoun,168,-96.809528,28.612936 -96.802088,28.612936 -96.802088,28.604126 -96.809528,28.604126 -96.809528,28.612936
TX,Calhoun,169,-96.802088,28.612936 -96.794648,28.612936 -96.794648,28.604126 -96.802088,28.604126 -96.802088,28.612936
