State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,195,-95.819463,29.204558 -95.811375,29.204558 -95.811375,29.196455 -95.819463,29.196455 -95.819463,29.204558
TX,Brazoria,196,-95.811375,29.204558 -95.803287,29.204558 -95.803287,29.196455 -95.811375,29.196455 -95.811375,29.204558
TX,Brazoria,197,-95.819463,29.196455 -95.814071,29.196455 -95.814071,29.184301 -95.819463,29.184301 -95.819463,29.196455
TX,Brazoria,198,-95.803287,29.196455 -95.803287,29.190378 -95.814071,29.190378 -95.814071,29.196455 -95.803287,29.196455
TX,Brazoria,199,-95.803287,29.190378 -95.803287,29.184301 -95.814071,29.184301 -95.814071,29.190378 -95.803287,29.190378
TX,Brazoria,200,-95.803287,29.204558 -95.796817,29.204558 -95.796817,29.194429 -95.803287,29.194429 -95.803287,29.204558
TX,Brazoria,201,-95.796817,29.204558 -95.790347,29.204558 -95.790347,29.194429 -95.796817,29.194429 -95.796817,29.204558
TX,Brazoria,202,-95.790347,29.204558 -95.783876,29.204558 -95.783876,29.194429 -95.790347,29.194429 -95.790347,29.204558
TX,Brazoria,203,-95.803287,29.194429 -95.796817,29.194429 -95.796817,29.184301 -95.803287,29.184301 -95.803287,29.194429
TX,Brazoria,204,-95.796817,29.194429 -95.790347,29.194429 -95.790347,29.184301 -95.796817,29.184301 -95.796817,29.194429
TX,Brazoria,205,-95.790347,29.194429 -95.783876,29.194429 -95.783876,29.184301 -95.790347,29.184301 -95.790347,29.194429
TX,Brazoria,206,-95.835719,29.184301 -95.835719,29.17385 -95.839975,29.17385 -95.838493,29.176512 -95.847371,29.184301 -95.835719,29.184301
