State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,193,-96.795932,29.040025 -96.788548,29.040025 -96.788548,29.031149 -96.795932,29.031149 -96.795932,29.040025
TX,Jackson,194,-96.788548,29.040025 -96.781164,29.040025 -96.781164,29.031149 -96.788548,29.031149 -96.788548,29.040025
TX,Jackson,195,-96.780525,29.177056 -96.766892,29.186673 -96.766892,29.177056 -96.780525,29.177056
TX,Jackson,196,-96.756912,29.193712 -96.756912,29.183625 -96.766892,29.183625 -96.766892,29.186673 -96.756912,29.193712
TX,Jackson,197,-96.756912,29.183625 -96.756912,29.177056 -96.766892,29.177056 -96.766892,29.183625 -96.756912,29.183625
TX,Jackson,198,-96.747132,29.200612 -96.747132,29.19046 -96.756912,29.19046 -96.756912,29.193712 -96.747132,29.200612
TX,Jackson,199,-96.747132,29.19046 -96.747132,29.183758 -96.756912,29.183758 -96.756912,29.19046 -96.747132,29.19046
TX,Jackson,200,-96.747132,29.183758 -96.747132,29.177056 -96.756912,29.177056 -96.756912,29.183758 -96.747132,29.183758
TX,Jackson,201,-96.733305,29.210405 -96.733305,29.200761 -96.74692,29.200761 -96.7416,29.204514 -96.733305,29.210405
TX,Jackson,202,-96.747132,29.200612 -96.74692,29.200761 -96.740217,29.200761 -96.740217,29.191278 -96.747132,29.191278 -96.747132,29.200612
TX,Jackson,203,-96.740217,29.200761 -96.733305,29.200761 -96.733305,29.191278 -96.740217,29.191278 -96.740217,29.200761
TX,Jackson,204,-96.733305,29.191278 -96.733305,29.186538 -96.747132,29.186538 -96.747132,29.191278 -96.733305,29.191278
TX,Jackson,205,-96.747132,29.186538 -96.740218,29.186538 -96.740218,29.177056 -96.747132,29.177056 -96.747132,29.186538
TX,Jackson,206,-96.740218,29.186538 -96.733305,29.186538 -96.733305,29.177056 -96.740218,29.177056 -96.740218,29.186538
TX,Jackson,207,-96.769193,29.177056 -96.769193,29.171569 -96.781164,29.171569 -96.781164,29.176606 -96.780525,29.177056 -96.769193,29.177056
TX,Jackson,208,-96.781164,29.171569 -96.775178,29.171569 -96.775178,29.160618 -96.781164,29.160618 -96.781164,29.171569
TX,Jackson,209,-96.775178,29.171569 -96.769193,29.171569 -96.769193,29.160618 -96.775178,29.160618 -96.775178,29.171569
TX,Jackson,210,-96.75723,29.177056 -96.75723,29.171577 -96.769193,29.171577 -96.769193,29.177056 -96.75723,29.177056
TX,Jackson,211,-96.769193,29.171577 -96.763211,29.171577 -96.763211,29.160618 -96.769193,29.160618 -96.769193,29.171577
